,originDestination,usg_apt_id,fg_apt_id,Total,AIRPORT_SEQ_ID_x,AIRPORT_ID_x,AIRPORT_x,DISPLAY_AIRPORT_NAME_x,DISPLAY_AIRPORT_CITY_NAME_FULL_x,AIRPORT_WAC_x,AIRPORT_COUNTRY_NAME_x,AIRPORT_COUNTRY_CODE_ISO_x,AIRPORT_STATE_NAME_x,AIRPORT_STATE_CODE_x,AIRPORT_STATE_FIPS_x,CITY_MARKET_ID_x,DISPLAY_CITY_MARKET_NAME_FULL_x,CITY_MARKET_WAC_x,LAT_DEGREES_x,LAT_HEMISPHERE_x,LAT_MINUTES_x,LAT_SECONDS_x,destination_latitude,LON_DEGREES_x,LON_HEMISPHERE_x,LON_MINUTES_x,LON_SECONDS_x,destination_latitude,AIRPORT_START_DATE_x,AIRPORT_THRU_DATE_x,AIRPORT_IS_CLOSED_x,AIRPORT_IS_LATEST_x,Unnamed: 28_x,AIRPORT_SEQ_ID_y,AIRPORT_ID_y,AIRPORT_y,DISPLAY_AIRPORT_NAME_y,DISPLAY_AIRPORT_CITY_NAME_FULL_y,AIRPORT_WAC_y,AIRPORT_COUNTRY_NAME_y,AIRPORT_COUNTRY_CODE_ISO_y,AIRPORT_STATE_NAME_y,AIRPORT_STATE_CODE_y,AIRPORT_STATE_FIPS_y,CITY_MARKET_ID_y,DISPLAY_CITY_MARKET_NAME_FULL_y,CITY_MARKET_WAC_y,LAT_DEGREES_y,LAT_HEMISPHERE_y,LAT_MINUTES_y,LAT_SECONDS_y,origin_latitude,LON_DEGREES_y,LON_HEMISPHERE_y,LON_MINUTES_y,LON_SECONDS_y,origin_longitude,AIRPORT_START_DATE_y,AIRPORT_THRU_DATE_y,AIRPORT_IS_CLOSED_y,AIRPORT_IS_LATEST_y,Unnamed: 28_y
0,1014011874,10140,11874,1014,1014005,10140,ABQ,Albuquerque International Sunport,"Albuquerque, NM",86,United States,US,New Mexico,NM,35.0,30140,"Albuquerque, NM",86,35.0,N,2.0,20.0,35.03888889,106.0,W,36.0,30.0,-106.60833333,2017-12-01,,0,1,,1187406,11874,GDL,Miguel Hidalgo Y Costilla International,"Guadalajara, Mexico",148,Mexico,MX,,,,31874,"Guadalajara, Mexico",148,20.0,N,31.0,19.0,20.52194444,103.0,W,18.0,40.0,-103.31111111,2017-12-01,,0,1,
1,1025716085,10257,16085,43,1025702,10257,ALB,Albany International,"Albany, NY",22,United States,US,New York,NY,36.0,30257,"Albany, NY",22,42.0,N,44.0,57.0,42.74916667,73.0,W,48.0,7.0,-73.80194444,2011-07-01,,0,1,,1608506,16085,YHZ,Halifax Stanfield International,"Halifax, Canada",951,Canada,CA,Nova Scotia,NS,,36085,"Halifax, Canada",951,44.0,N,52.0,52.0,44.88111111,63.0,W,30.0,38.0,-63.51055556,2017-12-01,,0,1,
2,1029912143,10299,12143,4,1029906,10299,ANC,Ted Stevens Anchorage International,"Anchorage, AK",1,United States,US,Alaska,AK,2.0,30299,"Anchorage, AK",1,61.0,N,10.0,27.0,61.17416667,149.0,W,59.0,53.0,-149.99805556,2017-12-01,,0,1,,1214302,12143,HKG,Hong Kong International,"Hong Kong, Hong Kong",729,Hong Kong,HK,,,,32126,"Hong Kong, Hong Kong",729,22.0,N,18.0,32.0,22.30888889,113.0,E,54.0,53.0,113.91472222,1998-07-01,,0,1,
3,1029912169,10299,12169,3,1029906,10299,ANC,Ted Stevens Anchorage International,"Anchorage, AK",1,United States,US,Alaska,AK,2.0,30299,"Anchorage, AK",1,61.0,N,10.0,27.0,61.17416667,149.0,W,59.0,53.0,-149.99805556,2017-12-01,,0,1,,1216906,12169,HND,Tokyo International,"Tokyo, Japan",736,Japan,JP,,,,32169,"Tokyo, Japan",736,35.0,N,32.0,52.0,35.54777778,139.0,E,47.0,20.0,139.78888889,2019-04-01,,0,1,
4,1029913252,10299,13252,146,1029906,10299,ANC,Ted Stevens Anchorage International,"Anchorage, AK",1,United States,US,Alaska,AK,2.0,30299,"Anchorage, AK",1,61.0,N,10.0,27.0,61.17416667,149.0,W,59.0,53.0,-149.99805556,2017-12-01,,0,1,,1325202,13252,MEX,Licenciado Benito Juarez International,"Mexico City, Mexico",148,Mexico,MX,,,,33252,"Mexico City, Mexico",148,19.0,N,26.0,11.0,19.43638889,99.0,W,4.0,19.0,-99.07194444,2011-07-01,,0,1,
5,1029913744,10299,13744,146,1029906,10299,ANC,Ted Stevens Anchorage International,"Anchorage, AK",1,United States,US,Alaska,AK,2.0,30299,"Anchorage, AK",1,61.0,N,10.0,27.0,61.17416667,149.0,W,59.0,53.0,-149.99805556,2017-12-01,,0,1,,1374406,13744,NRT,Narita International,"Tokyo, Japan",736,Japan,JP,,,,32169,"Tokyo, Japan",736,35.0,N,46.0,38.0,35.77722222,140.0,E,22.0,56.0,140.38222222,2017-12-01,,0,1,
6,1029915306,10299,15306,312,1029906,10299,ANC,Ted Stevens Anchorage International,"Anchorage, AK",1,United States,US,Alaska,AK,2.0,30299,"Anchorage, AK",1,61.0,N,10.0,27.0,61.17416667,149.0,W,59.0,53.0,-149.99805556,2017-12-01,,0,1,,1530605,15306,TPE,Taiwan Taoyuan International,"Taipei, Taiwan",781,Taiwan,TW,,,,35306,"Taipei, Taiwan",781,25.0,N,4.0,39.0,25.0775,121.0,E,14.0,0.0,121.23333333,2017-12-01,,0,1,
7,1029916175,10299,16175,8,1029906,10299,ANC,Ted Stevens Anchorage International,"Anchorage, AK",1,United States,US,Alaska,AK,2.0,30299,"Anchorage, AK",1,61.0,N,10.0,27.0,61.17416667,149.0,W,59.0,53.0,-149.99805556,2017-12-01,,0,1,,1617505,16175,YQU,Grande Prairie Airport,"Grande Prairie, Canada",916,Canada,CA,Alberta,AB,,36175,"Grande Prairie, Canada",916,55.0,N,10.0,55.0,55.18194444,118.0,W,53.0,14.0,-118.88722222,2017-12-01,,0,1,
8,1029916254,10299,16254,8,1029906,10299,ANC,Ted Stevens Anchorage International,"Anchorage, AK",1,United States,US,Alaska,AK,2.0,30299,"Anchorage, AK",1,61.0,N,10.0,27.0,61.17416667,149.0,W,59.0,53.0,-149.99805556,2017-12-01,,0,1,,1625405,16254,YXY,Erik Nielsen International,"Whitehorse, Canada",911,Canada,CA,Yukon Territory,YT,,36254,"Whitehorse, Canada",911,60.0,N,42.0,34.0,60.70944444,135.0,W,4.0,2.0,-135.06722222,2017-12-01,,0,1,
9,1032516271,10325,16271,10,1032504,10325,APA,Centennial,"Denver, CO",82,United States,US,Colorado,CO,8.0,30325,"Denver, CO",82,39.0,N,34.0,12.0,39.57,104.0,W,50.0,58.0,-104.84944444,2011-07-01,,0,1,,1627102,16271,YYZ,Lester B. Pearson International,"Toronto, Canada",936,Canada,CA,Ontario,ON,,36106,"Toronto, Canada",936,43.0,N,40.0,36.0,43.67666667,79.0,W,37.0,50.0,-79.63055556,2011-07-01,,0,1,
10,1032916188,10329,16188,2,1032905,10329,APF,Naples Municipal,"Naples, FL",33,United States,US,Florida,FL,12.0,30329,"Naples, FL",33,26.0,N,9.0,9.0,26.1525,81.0,W,46.0,32.0,-81.77555556,2017-12-01,,0,1,,1618802,16188,YSB,Sudbury Airport,"Sudbury, Canada",936,Canada,CA,Ontario,ON,,36188,"Sudbury, Canada",936,46.0,N,37.0,32.0,46.62555556,80.0,W,47.0,52.0,-80.79777778,2011-07-01,,0,1,
11,1032916271,10329,16271,11,1032905,10329,APF,Naples Municipal,"Naples, FL",33,United States,US,Florida,FL,12.0,30329,"Naples, FL",33,26.0,N,9.0,9.0,26.1525,81.0,W,46.0,32.0,-81.77555556,2017-12-01,,0,1,,1627102,16271,YYZ,Lester B. Pearson International,"Toronto, Canada",936,Canada,CA,Ontario,ON,,36106,"Toronto, Canada",936,43.0,N,40.0,36.0,43.67666667,79.0,W,37.0,50.0,-79.63055556,2011-07-01,,0,1,
12,1039710292,10397,10292,64721,1039707,10397,ATL,Hartsfield-Jackson Atlanta International,"Atlanta, GA",34,United States,US,Georgia,GA,13.0,30397,"Atlanta, GA (Metropolitan Area)",34,33.0,N,38.0,12.0,33.63666667,84.0,W,25.0,40.0,-84.42777778,2017-12-01,,0,1,,1029202,10292,AMS,Schiphol,"Amsterdam, Netherlands",461,Netherlands,NL,,,,30292,"Amsterdam, Netherlands",461,52.0,N,18.0,31.0,52.30861111,4.0,E,45.0,50.0,4.76388889,2011-07-01,,0,1,
13,1039710312,10397,10312,1666,1039707,10397,ATL,Hartsfield-Jackson Atlanta International,"Atlanta, GA",34,United States,US,Georgia,GA,13.0,30397,"Atlanta, GA (Metropolitan Area)",34,33.0,N,38.0,12.0,33.63666667,84.0,W,25.0,40.0,-84.42777778,2017-12-01,,0,1,,1031206,10312,ANU,V C Bird International,"St. Johns, Antigua and Barbuda",206,Antigua and Barbuda,AG,,,,30312,"St. Johns, Antigua and Barbuda",206,17.0,N,8.0,10.0,17.13611111,61.0,W,47.0,38.0,-61.79388889,2017-12-01,,0,1,
14,1039710411,10397,10411,12543,1039707,10397,ATL,Hartsfield-Jackson Atlanta International,"Atlanta, GA",34,United States,US,Georgia,GA,13.0,30397,"Atlanta, GA (Metropolitan Area)",34,33.0,N,38.0,12.0,33.63666667,84.0,W,25.0,40.0,-84.42777778,2017-12-01,,0,1,,1041103,10411,AUA,Reina Beatrix International,"Aruba, Aruba",277,Aruba,AW,,,,30411,"Aruba, Aruba",277,12.0,N,30.0,5.0,12.50138889,70.0,W,0.0,56.0,-70.01555556,2011-07-01,,0,1,
15,1039710521,10397,10521,4882,1039707,10397,ATL,Hartsfield-Jackson Atlanta International,"Atlanta, GA",34,United States,US,Georgia,GA,13.0,30397,"Atlanta, GA (Metropolitan Area)",34,33.0,N,38.0,12.0,33.63666667,84.0,W,25.0,40.0,-84.42777778,2017-12-01,,0,1,,1052103,10521,BDA,L. F. Wade International,"Hamilton, Bermuda",207,Bermuda,BM,,,,30521,"Hamilton, Bermuda",207,32.0,N,21.0,51.0,32.36416667,64.0,W,40.0,43.0,-64.67861111,2007-04-01,,0,1,
16,1039710568,10397,10568,5,1039707,10397,ATL,Hartsfield-Jackson Atlanta International,"Atlanta, GA",34,United States,US,Georgia,GA,13.0,30397,"Atlanta, GA (Metropolitan Area)",34,33.0,N,38.0,12.0,33.63666667,84.0,W,25.0,40.0,-84.42777778,2017-12-01,,0,1,,1056805,10568,BFS,Belfast Aldergrove,"Belfast, United Kingdom",493,United Kingdom,GB,,,,30568,"Belfast, United Kingdom",493,54.0,N,39.0,27.0,54.6575,6.0,W,12.0,57.0,-6.21583333,2017-12-01,,0,1,
17,1039710638,10397,10638,4343,1039707,10397,ATL,Hartsfield-Jackson Atlanta International,"Atlanta, GA",34,United States,US,Georgia,GA,13.0,30397,"Atlanta, GA (Metropolitan Area)",34,33.0,N,38.0,12.0,33.63666667,84.0,W,25.0,40.0,-84.42777778,2017-12-01,,0,1,,1063802,10638,BJX,Guanajuato International,"Leon/Guanajuato, Mexico",148,Mexico,MX,,,,30638,"Leon/Guanajuato, Mexico",148,20.0,N,59.0,36.0,20.99333333,101.0,W,28.0,51.0,-101.48083333,2011-07-01,,0,1,
18,1039710711,10397,10711,10725,1039707,10397,ATL,Hartsfield-Jackson Atlanta International,"Atlanta, GA",34,United States,US,Georgia,GA,13.0,30397,"Atlanta, GA (Metropolitan Area)",34,33.0,N,38.0,12.0,33.63666667,84.0,W,25.0,40.0,-84.42777778,2017-12-01,,0,1,,1071102,10711,BOG,El Dorado International,"Bogota, Colombia",327,Colombia,CO,,,,30711,"Bogota, Colombia",327,4.0,N,42.0,6.0,4.70166667,74.0,W,8.0,49.0,-74.14694444,2011-07-01,,0,1,
19,1039710717,10397,10717,3679,1039707,10397,ATL,Hartsfield-Jackson Atlanta International,"Atlanta, GA",34,United States,US,Georgia,GA,13.0,30397,"Atlanta, GA (Metropolitan Area)",34,33.0,N,38.0,12.0,33.63666667,84.0,W,25.0,40.0,-84.42777778,2017-12-01,,0,1,,1071706,10717,BON,Flamingo International,"Bonaire, Bonaire, Sint Eustatius, and Saba",260,"Bonaire, Sint Eustatius, and Saba",BQ,,,,30717,"Bonaire, Bonaire, Sint Eustatius, and Saba",260,12.0,N,7.0,51.0,12.13083333,68.0,W,16.0,3.0,-68.2675,2017-12-01,,0,1,
